subject_id,run,condition,file_path
S001,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S001/S001R01.edf
S001,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S001/S001R02.edf
S002,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S002/S002R01.edf
S002,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S002/S002R02.edf
S003,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S003/S003R01.edf
S003,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S003/S003R02.edf
S004,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S004/S004R01.edf
S004,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S004/S004R02.edf
S005,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S005/S005R01.edf
S005,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S005/S005R02.edf
S006,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S006/S006R01.edf
S006,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S006/S006R02.edf
S007,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S007/S007R01.edf
S007,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S007/S007R02.edf
S008,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S008/S008R01.edf
S008,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S008/S008R02.edf
S009,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S009/S009R01.edf
S009,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S009/S009R02.edf
S010,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S010/S010R01.edf
S010,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S010/S010R02.edf
S011,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S011/S011R01.edf
S011,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S011/S011R02.edf
S012,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S012/S012R01.edf
S012,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S012/S012R02.edf
S013,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S013/S013R01.edf
S013,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S013/S013R02.edf
S014,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S014/S014R01.edf
S014,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S014/S014R02.edf
S015,R01,eyes_open,/home/ubuntu/datasets/physionet_motor/S015/S015R01.edf
S015,R02,eyes_closed,/home/ubuntu/datasets/physionet_motor/S015/S015R02.edf
